URL,Step,Impact,Description,Issue,More information,CSS selector
/alcohol-licensing/renew-managers-certificate/step/qualification-details/,1,moderate,Ensures the order of headings is semantically correct,Heading levels should only increase by one,https://dequeuniversity.com/rules/axe/4.9/heading-order?application=playwright,h4
/alcohol-licensing/renew-managers-certificate/step/summary-and-declaration/,2,moderate,Ensures the order of headings is semantically correct,Heading levels should only increase by one,https://dequeuniversity.com/rules/axe/4.9/heading-order?application=playwright,h4
/alcohol-licensing/renew-managers-certificate/step/summary-and-declaration/,3,moderate,Ensures the order of headings is semantically correct,Heading levels should only increase by one,https://dequeuniversity.com/rules/axe/4.9/heading-order?application=playwright,h4
/alcohol-licensing/renew-managers-certificate/step/payment/,4,moderate,Ensures the order of headings is semantically correct,Heading levels should only increase by one,https://dequeuniversity.com/rules/axe/4.9/heading-order?application=playwright,.pt-0.xl\:gap-4.lg\:flex > h4
