URL,Step,Impact,Description,Issue,More information,CSS selector
/outdoor-event-booking/booking-request/step/applicant-details/,1,moderate,Ensures the order of headings is semantically correct,Heading levels should only increase by one,https://dequeuniversity.com/rules/axe/4.9/heading-order?application=playwright,h4
/outdoor-event-booking/booking-request/step/applicant-details/,1,moderate,Ensures the order of headings is semantically correct,Heading levels should only increase by one,https://dequeuniversity.com/rules/axe/4.9/heading-order?application=playwright,.stack--item:nth-child(3) > h5
/outdoor-event-booking/booking-request/step/about-your-event/,2,moderate,Ensures the order of headings is semantically correct,Heading levels should only increase by one,https://dequeuniversity.com/rules/axe/4.9/heading-order?application=playwright,h4
/outdoor-event-booking/booking-request/step/about-your-event/,2,moderate,Ensures the order of headings is semantically correct,Heading levels should only increase by one,https://dequeuniversity.com/rules/axe/4.9/heading-order?application=playwright,.stack--item:nth-child(5) > h5
/outdoor-event-booking/booking-request/step/structures-and-equipment/,3,moderate,Ensures the order of headings is semantically correct,Heading levels should only increase by one,https://dequeuniversity.com/rules/axe/4.9/heading-order?application=playwright,h4
/outdoor-event-booking/booking-request/step/summary/,4,moderate,Ensures the order of headings is semantically correct,Heading levels should only increase by one,https://dequeuniversity.com/rules/axe/4.9/heading-order?application=playwright,h4
