URL,Step,Impact,Description,Issue,More information,CSS selector
/register-your-dog/step/your-dogs-details/,1,moderate,Ensures the order of headings is semantically correct,Heading levels should only increase by one,https://dequeuniversity.com/rules/axe/4.9/heading-order?application=playwright,h4
/register-your-dog/step/supporting-documents/,2,moderate,Ensures the order of headings is semantically correct,Heading levels should only increase by one,https://dequeuniversity.com/rules/axe/4.9/heading-order?application=playwright,h4
/register-your-dog/step/your-responsibilities-and-obligations/,3,moderate,Ensures the order of headings is semantically correct,Heading levels should only increase by one,https://dequeuniversity.com/rules/axe/4.9/heading-order?application=playwright,h4
/register-your-dog/step/your-responsibilities-and-obligations/,3,moderate,Ensures the order of headings is semantically correct,Heading levels should only increase by one,https://dequeuniversity.com/rules/axe/4.9/heading-order?application=playwright,.pb-4:nth-child(1) > h6
/register-your-dog/step/summary-and-declaration/,4,moderate,Ensures the order of headings is semantically correct,Heading levels should only increase by one,https://dequeuniversity.com/rules/axe/4.9/heading-order?application=playwright,.gap-5 > h4
/register-your-dog/step/payment/,5,moderate,Ensures the order of headings is semantically correct,Heading levels should only increase by one,https://dequeuniversity.com/rules/axe/4.9/heading-order?application=playwright,.gap-5 > h4
