URL,Step,Impact,Description,Issue,More information,CSS selector
/dog-ownership-details/update-dog-ownership/step/reason-for-update/,1,moderate,Ensures the order of headings is semantically correct,Heading levels should only increase by one,https://dequeuniversity.com/rules/axe/4.9/heading-order?application=playwright,h4
/dog-ownership-details/update-dog-ownership/step/summary-and-declaration/,2,moderate,Ensures the order of headings is semantically correct,Heading levels should only increase by one,https://dequeuniversity.com/rules/axe/4.9/heading-order?application=playwright,.gap-5.lg\:flex.pt-0 > h4
/dog-ownership-details/update-dog-ownership/step/summary-and-declaration/,3,moderate,Ensures the order of headings is semantically correct,Heading levels should only increase by one,https://dequeuniversity.com/rules/axe/4.9/heading-order?application=playwright,.gap-5.lg\:flex.pt-0 > h4
